generation,maximum_fitness,mean_fitness,quality_diversity,coverage,function_calls,Algorithm,Benchmark,Run
0,0.293481417736333,0.20570419204287,2.46845030451444,8,24,GB-EPI,0,0
1,0.31342784079896,0.219600438789099,7.90561579640755,24,309,GB-EPI,0,0
2,0.31342784079896,0.226496804081484,10.1923561836668,30,563,GB-EPI,0,0
3,0.340107700270845,0.231968533709866,11.5984266854933,33.3333333333333,862,GB-EPI,0,0
4,0.347383183496849,0.242469783613503,12.6084287479022,34.6666666666667,1133,GB-EPI,0,0
5,0.444572726709059,0.249253778632183,13.2104502675057,35.3333333333333,1382,GB-EPI,0,0
6,0.444572726709059,0.253377423258929,13.9357582792411,36.6666666666667,1500,GB-EPI,0,0
0,0.127911733105822,0.074804134142893,0.673237207286032,6,23,GB-EPI,1,1
1,0.169507510572504,0.090737196497687,2.7221158949306,20,302,GB-EPI,1,1
2,0.181811852921437,0.100015382841389,3.80058454797277,25.3333333333333,562,GB-EPI,1,1
3,0.203451648922494,0.108387822631926,4.22712508264512,26,816,GB-EPI,1,1
4,0.281217762669931,0.124676247487342,5.23640239446838,28,1130,GB-EPI,1,1
5,0.281217762669931,0.126199606095011,5.67898227427551,30,1410,GB-EPI,1,1
6,0.281217762669931,0.130016397127373,5.85073787073176,30,1500,GB-EPI,1,1
0,0.359993972944908,0.228382828681607,2.51221111549767,7.33333333333333,24,GB-EPI,0,2
1,0.401382202808613,0.228246942608189,6.3909143930293,18.6666666666667,207,GB-EPI,0,2
2,0.401382202808613,0.23945633111649,8.38097158907715,23.3333333333333,468,GB-EPI,0,2
3,0.401382202808613,0.240541519511763,9.86220229998229,27.3333333333333,725,GB-EPI,0,2
4,0.414478527067581,0.245998963416301,11.0699533537336,30,974,GB-EPI,0,2
5,0.414478527067581,0.251957703314963,11.8420120558032,31.3333333333333,1258,GB-EPI,0,2
6,0.424380548709586,0.256966059165786,12.3343708399577,32,1500,GB-EPI,0,2
0,0.127911733105822,0.074120634295128,0.815326977246411,7.33333333333333,23,GB-EPI,1,3
1,0.183183037127628,0.076959755867344,2.77055121122439,24,276,GB-EPI,1,3
2,0.183183037127628,0.083892363755377,3.77515636899195,30,584,GB-EPI,1,3
3,0.200387366030148,0.082924259872315,4.47791003310499,36,888,GB-EPI,1,3
4,0.200387366030148,0.087463926117213,4.89797986256394,37.3333333333333,1162,GB-EPI,1,3
5,0.200387366030148,0.091198025687868,5.47188154127207,40,1447,GB-EPI,1,3
6,0.200387366030148,0.093353475306253,5.69456199368143,40.6666666666667,1500,GB-EPI,1,3
0,0.360696128289428,0.227173770563265,1.81739016450612,5.33333333333333,23,GB-EPI,0,4
1,0.387599930048563,0.230132376695102,5.75330941737755,16.6666666666667,186,GB-EPI,0,4
2,0.387599930048563,0.252790069918332,8.84765244714162,23.3333333333333,404,GB-EPI,0,4
3,0.387599930048563,0.262374014565117,10.2325865680396,26,618,GB-EPI,0,4
4,0.397653594214948,0.271925722234691,11.420880333857,28,870,GB-EPI,0,4
5,0.397653594214948,0.278405400490277,12.2498376215722,29.3333333333333,1139,GB-EPI,0,4
6,0.421020836860783,0.281138396101893,13.4946430128909,32,1394,GB-EPI,0,4
7,0.421020836860783,0.283339597864581,13.6003006974999,32,1500,GB-EPI,0,4
0,0.126307134184651,0.062179636581159,0.559616729230434,6,18,GB-EPI,1,5
1,0.187584534552664,0.076640752269315,1.9926595590022,17.3333333333333,214,GB-EPI,1,5
2,0.226753028585647,0.094119638088109,3.38830697117192,24,442,GB-EPI,1,5
3,0.2335391137574,0.104783740017542,4.19134960070168,26.6666666666667,627,GB-EPI,1,5
4,0.2335391137574,0.109772859892168,5.04955155503972,30.6666666666667,834,GB-EPI,1,5
5,0.2335391137574,0.116564750344558,5.71167276688334,32.6666666666667,1091,GB-EPI,1,5
6,0.2335391137574,0.12149748401182,6.07487420059098,33.3333333333333,1323,GB-EPI,1,5
7,0.2335391137574,0.124987893705578,6.24939468527889,33.3333333333333,1500,GB-EPI,1,5
0,0.359993972944908,0.22916547163607,2.06248924472463,6,25,GB-EPI,0,6
1,0.387599930048563,0.226375446669432,6.11213706007466,18,207,GB-EPI,0,6
2,0.394212244295487,0.23376570469604,8.88309677844954,25.3333333333333,421,GB-EPI,0,6
3,0.394212244295487,0.241596463962103,9.90545502244621,27.3333333333333,604,GB-EPI,0,6
4,0.394212244295487,0.238233251059716,11.6734293019261,32.6666666666667,792,GB-EPI,0,6
5,0.394212244295487,0.239322413302821,12.9234103183523,36,1038,GB-EPI,0,6
6,0.394212244295487,0.240647643006185,14.4388585803711,40,1270,GB-EPI,0,6
7,0.401382202808613,0.235879785631811,15.8039456373313,44.6666666666667,1473,GB-EPI,0,6
8,0.401382202808613,0.236455918170885,15.8425465174493,44.6666666666667,1500,GB-EPI,0,6
0,0.139964353785032,0.067182984272961,0.671829842729615,6.66666666666667,23,GB-EPI,1,7
1,0.218525074303256,0.085350638642402,2.81657107519926,22,238,GB-EPI,1,7
2,0.218525074303256,0.108149239568496,3.78522338489735,23.3333333333333,501,GB-EPI,1,7
3,0.218525074303256,0.109105264741337,4.36421058965348,26.6666666666667,740,GB-EPI,1,7
4,0.225079939401207,0.114352287939597,4.6884438055235,27.3333333333333,989,GB-EPI,1,7
5,0.225079939401207,0.11884945660852,5.34822554738341,30,1228,GB-EPI,1,7
6,0.236995178865499,0.125141194779119,5.75649495983947,30.6666666666667,1413,GB-EPI,1,7
7,0.236995178865499,0.126903415066608,5.83755709306399,30.6666666666667,1500,GB-EPI,1,7
