generation,maximum fitness,mean fitness,quality diversity score,coverage,function calls,max_err,mse,mae
52,1.0,0.44967751306500836,32.376780940680604,48.0,1783,0.03409247584185798,0.00014120317849776598,0.008835302835823568
53,1.0,0.45007027813107353,32.405060025437294,48.0,1813,0.03586773536754295,0.000178439334136473,0.00966557877128162
54,1.0,0.44634622344043257,32.58327431115158,48.66666666666667,1851,0.028599253188433704,0.00011170449298702799,0.007963505551375424
55,1.0,0.44672324995796425,32.61079724693139,48.66666666666667,1886,0.03159735172813033,0.0001356648076051218,0.009123604135111141
56,1.0,0.45026948733442873,32.8696725754133,48.66666666666667,1918,0.022726821968983846,0.00012681775473683275,0.008769692071739232
57,1.0,0.4456205628917852,32.9759216539921,49.333333333333336,1945,0.049512508544537925,0.0003247410154939887,0.014074331114069017
58,1.0,0.445922759918424,32.998284233963375,49.333333333333336,1978,0.03327093265323197,0.00013083360038990566,0.008881425710756553
59,1.0,0.44619854590849584,33.01869239722869,49.333333333333336,2012,0.029049790346292403,0.0001283010843286253,0.0086292148057224
60,1.0,0.44165844605519006,33.124383454139256,50.0,2043,0.04420519421558344,0.0001658153383013199,0.009483886504808782
61,1.0,0.44297206254214405,33.222904690660805,50.0,2070,0.04047418247957241,0.00018590417110711863,0.010410858829803723
62,1.0,0.44329425389237276,33.24706904192796,50.0,2095,0.035345294565004126,0.00019630236283681393,0.011012521923982534
63,1.0,0.4444849505336897,33.336371290026726,50.0,2134,0.023887380360519794,0.00011610439968837781,0.008314404217540185
64,1.0,0.44108424400833995,33.522402544633835,50.66666666666667,2168,0.051763049708331677,0.00019928191766056417,0.009528458126158858
65,1.0,0.4412209020807322,33.53278855813565,50.66666666666667,2200,0.02226502216738474,7.514612923477664e-05,0.006603741696817016
66,1.0,0.4418537216960836,33.580882848902355,50.66666666666667,2233,0.019379111903462927,9.63975393891331e-05,0.008187305421016033
67,1.0,0.4435742658013109,33.71164420089963,50.66666666666667,2265,0.025176995401571978,8.015409449105416e-05,0.006832024111240319
68,1.0,0.44431224138188957,33.76773034502361,50.66666666666667,2305,0.017798743660309313,5.788971497387129e-05,0.006251789456168983
69,1.0,0.44431224138188957,33.76773034502361,50.66666666666667,2344,0.050753377336428374,0.00021158028664297306,0.00982758550514301
70,1.0,0.4334053413969617,34.23902197035997,52.666666666666664,2378,0.036819004704527036,0.00014720549084428213,0.008966368020679821
71,1.0,0.4342262474570672,34.30387354910831,52.666666666666664,2408,0.025842180268405346,9.583844864652117e-05,0.007684460177504862
72,1.0,0.4346529642915135,34.33758417902957,52.666666666666664,2443,0.0465494216550843,0.00020740285000017528,0.010095013075278852
73,1.0,0.4346529642915135,34.33758417902957,52.666666666666664,2478,0.028838901748734713,0.00012412273453672393,0.008455514095347819
74,1.0,0.4349640072650791,34.36215657394125,52.666666666666664,2516,0.019156817184426744,7.878269578272643e-05,0.007137650207835306
75,1.0,0.4349640072650791,34.36215657394125,52.666666666666664,2543,0.029938444610313253,0.00011355940305390487,0.007362921261661665
76,1.0,0.4350346932453305,34.36774076638111,52.666666666666664,2571,0.012797836262547546,4.927952867317737e-05,0.006324074450893903
77,1.0,0.43545386605129693,34.40085541805246,52.666666666666664,2604,0.024818635997435945,9.05333189093243e-05,0.0070708159009397805
78,1.0,0.43545386605129693,34.40085541805246,52.666666666666664,2636,0.02188187121907459,7.297964151655771e-05,0.006616890834526059
79,1.0,0.43545386605129693,34.40085541805246,52.666666666666664,2661,0.027489742823362917,0.00012838556483129717,0.00895605696434399
80,1.0,0.43633931312304414,34.470805736720486,52.666666666666664,2698,0.018150178549047546,9.851535760271846e-05,0.008870216304535345
81,1.0,0.4364577740275137,34.48016414817358,52.666666666666664,2731,0.024102665599157552,7.218374520797861e-05,0.006698636594783381
82,1.0,0.43662883116059614,34.493677661687094,52.666666666666664,2760,0.0242144359803807,8.759855335944445e-05,0.006969708412762069
83,1.0,0.4283328969278385,34.69496465115492,54.0,2783,0.021181527184838414,0.00010130502274618024,0.008366781190064102
84,1.0,0.4285059671943667,34.7089833427437,54.0,2819,0.06400949406561701,0.00018747959881241724,0.00848832443018656
85,1.0,0.4294695830629963,34.7870362281027,54.0,2845,0.042224123178736195,0.00022338596025730018,0.011172368037403839
86,1.0,0.43104065910326916,34.9142933873648,54.0,2876,0.03344301266703675,0.00016951625176873678,0.009785340834994442
87,1.0,0.43353027803353456,35.1159525207163,54.0,2909,0.019085405492523508,8.194046282067487e-05,0.007585141670858916
88,1.0,0.43353027803353456,35.1159525207163,54.0,2938,0.03342954449313551,0.00011795585051725026,0.008247170428046006
89,1.0,0.43353027803353456,35.1159525207163,54.0,2978,0.02291670064968196,8.105369931795939e-05,0.006772344305723934
90,1.0,0.43195993201802685,35.4207144254782,54.666666666666664,3016,0.03063491724078088,8.924798467859906e-05,0.006726378959363924
91,1.0,0.43195993201802685,35.4207144254782,54.666666666666664,3045,0.02662322255911931,7.803518558401684e-05,0.006761331529688367
92,1.0,0.43269833305555355,35.48126331055539,54.666666666666664,3077,0.024844207642550242,0.0001211726462594333,0.00883860461158293
93,1.0,0.43269833305555355,35.48126331055539,54.666666666666664,3106,0.039526751402763446,0.0001544110609448271,0.009143377464197404
94,1.0,0.43345434305661973,35.54325613064282,54.666666666666664,3141,0.02932088279703409,0.00010145980702230003,0.007383405027754259
95,1.0,0.4377973745461277,35.89938471278247,54.666666666666664,3177,0.04744269178477098,0.0001943354269703553,0.009130544642785957
96,1.0,0.43544707946040784,36.14210759521385,55.333333333333336,3213,0.03376662607447928,0.00011904103037182096,0.008217627501037295
97,1.0,0.4364089131344356,36.22193979015815,55.333333333333336,3247,0.026698801335316713,0.00012787656646639017,0.008831643408882137
98,1.0,0.4370614990311482,36.2761044195853,55.333333333333336,3282,0.016416217475073047,5.016360321453098e-05,0.005887531352005366
99,1.0,0.4379249640717333,36.347772017953865,55.333333333333336,3319,0.025165261827914454,8.47603928814765e-05,0.007134028152264543
100,1.0,0.4391944250744825,36.453137281182045,55.333333333333336,3352,0.045382094187893296,0.00019062805160269941,0.008759907151129304
101,1.0,0.439354849036582,36.46645247003631,55.333333333333336,3384,0.04036470280742438,0.0002074174635821958,0.011197307673358688
102,1.0,0.44034292579515205,36.54846284099762,55.333333333333336,3416,0.020753529635508805,9.813152398571586e-05,0.008243333032395526
103,1.0,0.44143784112219026,36.63934081314179,55.333333333333336,3451,0.03617159603944242,0.00012842672641824544,0.008595117249365255
104,1.0,0.4415067418720759,36.6450595753823,55.333333333333336,3479,0.03335688889113908,0.00010499041028109634,0.007913818925413312
105,1.0,0.4432645016572855,36.79095363755469,55.333333333333336,3514,0.02421938862771955,0.0001060689970913941,0.008195175277733762
106,1.0,0.44345275466933365,36.80657863755469,55.333333333333336,3551,0.017995514088756104,6.85249416612801e-05,0.006962974354421983
107,1.0,0.44345275466933365,36.80657863755469,55.333333333333336,3581,0.03408101973468705,0.0001678458806664757,0.00899590166943624
108,1.0,0.44459368201508026,36.90127560725166,55.333333333333336,3620,0.06714671324592253,0.0003216296924021822,0.011236174905128935
109,1.0,0.44459368201508026,36.90127560725166,55.333333333333336,3655,0.03187293798100188,9.473336931249338e-05,0.007488703814592825
110,1.0,0.44003570746062415,36.96299942669243,56.00000000000001,3689,0.041454054012887265,0.0001398619132211267,0.008143813330939246
111,1.0,0.44003570746062415,36.96299942669243,56.00000000000001,3724,0.06199450116326283,0.00017868107451796936,0.007976102426031115
112,1.0,0.44003570746062415,36.96299942669243,56.00000000000001,3750,0.022011729873793517,7.263055867053484e-05,0.0068332925901221555
113,1.0,0.44228123996506485,37.15162415706545,56.00000000000001,3783,0.029274627520154306,7.278967122516621e-05,0.005639052394615055
114,1.0,0.44309916494308993,37.22032985521955,56.00000000000001,3821,0.016542680897462803,5.1041102661888866e-05,0.005805234949017497
115,1.0,0.4437897565133354,37.278339547120176,56.00000000000001,3868,0.030281309846034887,0.00010532165484233203,0.007726042216616119
116,1.0,0.44431277584388723,37.322273170886525,56.00000000000001,3895,0.025205128755700565,5.452390655182266e-05,0.005436942775283921
117,1.0,0.44440241703184935,37.32980303067534,56.00000000000001,3927,0.03300731117575584,0.00012677423570676266,0.008393939215250768
118,1.0,0.4444077100535295,37.33024764449648,56.00000000000001,3958,0.033616131896190005,0.0001297906831893858,0.008814034380213666
119,1.0,0.4447857346207276,37.36200170814112,56.00000000000001,3994,0.02367273607913023,9.616835019232957e-05,0.007641715767833944
120,1.0,0.44511642245141547,37.3897794859189,56.00000000000001,4030,0.031160514370374592,0.00011420018830528797,0.007667839974172845
121,1.0,0.44518645046262,37.39566183886008,56.00000000000001,4065,0.04527136591630476,0.00012329328181668518,0.007650440873140693
122,1.0,0.4452986648029186,37.40508784344516,56.00000000000001,4098,0.024869957529903064,0.00010981672030514414,0.008812121869686149
123,1.0,0.445678604012645,37.43700273706218,56.00000000000001,4127,0.027874996257113427,8.055640033836893e-05,0.0064776852499300805
124,1.0,0.445678604012645,37.43700273706218,56.00000000000001,4155,0.04888028695645519,0.00018551586227128703,0.008792969276648376
125,1.0,0.4464449784741443,37.501378191828124,56.00000000000001,4193,0.03720849193146181,0.00011473287143104999,0.007546970448039047
126,1.0,0.4467319415480863,37.52548309003925,56.00000000000001,4223,0.02777445620305985,0.00012100298326517443,0.008376394570129148
127,1.0,0.4467319415480863,37.52548309003925,56.00000000000001,4253,0.031243134681994245,0.0001164626974696828,0.008055269430282726
128,1.0,0.4467982018184283,37.53104895274797,56.00000000000001,4282,0.02141955054441369,0.0001167420347211829,0.008873417103145669
129,1.0,0.4468296860566861,37.98052331481832,56.666666666666664,4321,0.023700045603239517,8.814968433877292e-05,0.007604033619870172
130,1.0,0.4472835965211277,38.01910570429585,56.666666666666664,4352,0.03224750491757922,0.00010379004607116417,0.007206778537939548
131,1.0,0.4472835965211277,38.01910570429585,56.666666666666664,4378,0.04295917669580507,0.00016075335485485714,0.009222328312668341
132,1.0,0.4480949555474969,38.088071221537234,56.666666666666664,4405,0.019081498095454896,9.745754555657699e-05,0.008223125069233325
133,1.0,0.4480949555474969,38.088071221537234,56.666666666666664,4445,0.04503966250622582,0.00012391867699705137,0.0077266393291241355
134,1.0,0.4482150403273514,38.098278427824866,56.666666666666664,4473,0.025416419979981453,8.195670915317123e-05,0.006503255831898107
135,1.0,0.44367041252331624,38.1556554770052,57.333333333333336,4507,0.04012228466016288,0.0001288198848299351,0.0074382931727072854
136,1.0,0.44367041252331624,38.1556554770052,57.333333333333336,4540,0.021763329704068246,7.575303343991283e-05,0.006877071959123322
137,1.0,0.44475140917756995,38.24862118927101,57.333333333333336,4575,0.034614432101225834,0.00015309434165276318,0.00918129713216646
138,1.0,0.44490329765767256,38.26168359855984,57.333333333333336,4604,0.037530918911528155,0.00017791263521380429,0.010485269904593574
139,1.0,0.44490329765767256,38.26168359855984,57.333333333333336,4633,0.028035971653960212,0.00013767260339427417,0.00896292877425712
140,1.0,0.4454375234516707,38.30762701684368,57.333333333333336,4666,0.048235231918648314,0.00011069109112666274,0.006039625671820599
141,1.0,0.4454375234516707,38.30762701684368,57.333333333333336,4696,0.028045807767387798,9.893483725248627e-05,0.00786576304088144
142,1.0,0.4454375234516707,38.30762701684368,57.333333333333336,4727,0.020302773785174366,7.803158936465079e-05,0.006853306949908048
143,1.0,0.445751791207799,38.334654043870714,57.333333333333336,4759,0.021468983396533525,6.895826381722135e-05,0.006971348231479851
144,1.0,0.445942276863401,38.35103581025248,57.333333333333336,4784,0.04865560551462533,0.00015635624755713676,0.007566901662469811
145,1.0,0.445942276863401,38.35103581025248,57.333333333333336,4814,0.027809803130713906,0.00011765037964000377,0.00892314310254489
146,1.0,0.445942276863401,38.35103581025248,57.333333333333336,4843,0.03479622205642084,0.00013678635534680953,0.007857771863387528
147,1.0,0.445942276863401,38.35103581025248,57.333333333333336,4878,0.03287334225113864,0.00014377719642076284,0.008470205642002033
148,1.0,0.445942276863401,38.35103581025248,57.333333333333336,4897,0.014038256340279331,5.503548626282755e-05,0.006586584935346124
149,1.0,0.445942276863401,38.35103581025248,57.333333333333336,4922,0.024908383517559585,9.965202768017384e-05,0.007331743906066736
150,1.0,0.445942276863401,38.35103581025248,57.333333333333336,4950,0.04899527023349903,0.0001414857790533246,0.007648039537718182
151,1.0,0.44596300397031136,38.35281834144678,57.333333333333336,4979,0.03007853670385241,8.650603419385815e-05,0.006283090054056516
152,1.0,0.44596300397031136,38.35281834144678,57.333333333333336,5000,0.01987372758323125,5.221886674828915e-05,0.005368266537662683
